,player_name,player_age,from_team,from_competition,to_team,to_competition,transfer_date,first_nationality,second_nationality,market_value_number,transfer_fee_number,transfer_fee_other
158,Michaël Heylen,26,Zulte Waregem,Jupiler Pro League,FC Emmen,Eredivisie,8/30/2019,Belgium,,400,0,Free transfer
159,Clint Leemans,24,PEC Zwolle,Eredivisie,RKC Waalwijk,Eredivisie,8/30/2019,Netherlands,,550,0,Loan
160,Dani de Wit,22,Ajax,Eredivisie,AZ Alkmaar,Eredivisie,8/30/2019,Netherlands,,2700,2000,
161,Crysencio Summerville,18,Feyenoord U19,U19 Eredivisie,ADO Den Haag,Eredivisie,8/30/2019,Netherlands,Suriname,900,0,Loan
162,Joey Veerman,21,FC Volendam,Keuken Kampioen Divisie,Heerenveen,Eredivisie,8/30/2019,Netherlands,,3200,550,
163,Ritsu Doan,21,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,8/30/2019,Japan,,6300,7500,
164,Jan de Boer,19,Heerenveen U19,U19 Eredivisie,FC Groningen,Eredivisie,8/29/2019,Netherlands,,25,0,Free transfer
165,Jhonny Quiñónez,21,SD Aucas,LigaPro Serie A,Willem II,Eredivisie,8/29/2019,Ecuador,,450,0,Loan
166,Kasper Dolberg,22,Ajax,Eredivisie,OGC Nice,Ligue 1,8/29/2019,Denmark,,16000,20500,
167,Trent Sainsbury,28,PSV Eindhoven,Eredivisie,Maccabi Haifa,Ligat ha'Al,8/29/2019,Australia,England,950,0,Free transfer
168,Marko Vejinović,30,AZ Alkmaar,Eredivisie,Arka Gdynia,Ekstraklasa,8/28/2019,Netherlands,Serbia,900,300,
169,Elton Kabangu,22,KAA Gent,Jupiler Pro League,Willem II,Eredivisie,8/27/2019,Belgium,DR Congo,350,0,?
170,Oriol Busquets,21,FC Barcelona,LaLiga,FC Twente,Eredivisie,8/27/2019,Spain,,2300,0,Loan
171,Cian Harries,23,Swansea,Championship,Fortuna Sittard,Eredivisie,8/27/2019,Wales,,250,0,Loan
172,Zakaria Aboukhlal,20,PSV U21,Keuken Kampioen Divisie,AZ Alkmaar,Eredivisie,8/27/2019,Netherlands,Morocco,1300,2000,
173,Martin Angha,26,FC Sion,Super League,Fortuna Sittard,Eredivisie,8/26/2019,Switzerland,DR Congo,550,0,?
174,Stanley Elbers,27,PEC Zwolle,Eredivisie,RKC Waalwijk,Eredivisie,8/26/2019,Netherlands,Suriname,400,0,Loan
175,Thulani Serero,30,Vitesse,Eredivisie,Al-Jazira,UAE Gulf League,8/25/2019,South Africa,,1000,0,?
176,Björn Johnsen,28,AZ Alkmaar,Eredivisie,Rosenborg BK,Eliteserien,8/24/2019,Norway,United States,1200,0,Loan
177,Bart Ramselaar,23,PSV Eindhoven,Eredivisie,FC Utrecht,Eredivisie,8/24/2019,Netherlands,,2400,0,?
178,Royston Drenthe,33,Sparta R.,Eredivisie,Kozakken Boys,Tweede Divisie,8/24/2019,Netherlands,Suriname,0,0,Free transfer
179,Mustafa Saymak,27,C. Rizespor,Süper Lig,PEC Zwolle,Eredivisie,8/23/2019,Netherlands,Turkey,725,0,Free transfer
180,Anders Dreyer,21,Brighton,Premier League,Heerenveen,Eredivisie,8/23/2019,Denmark,,525,0,Loan
181,Hirving Lozano,24,PSV Eindhoven,Eredivisie,SSC Napoli,Serie A,8/23/2019,Mexico,,28000,38000,
182,Dylan Vente,20,Feyenoord,Eredivisie,RKC Waalwijk,Eredivisie,8/23/2019,Netherlands,,450,0,Loan
